Nome_Filme,,,,,
Um sonho de Liberdade,,,,,
Um amor pra Recordar,,,,,
Sempre ao seu Lado,,,,,
A Queda,,,,,
Forrest Gump,,,,,
Guerra nas Estrelas,,,,,
Casablanca,,,,,
O Poderoso Chefão,,,,,
A Lista de Schindler,,,,,
De volta para o Futuro,,,,,
E o Vento Levou...,,,,,
O Sol é para todos,,,,,
Apocalypse Now,,,,,
Perdido em Marte,,,,,
A Felicidade não se compra,,,,,
Tubarão,,,,,
Cantando na Chuva,,,,,
Um estranho no ninho,,,,,
Titanic,,,,,
O Resgate do Soldado Ryan,,,,,
Os Suspeitos,,,,,
Janela Indiscreta,,,,,
Jurassic Park,,,,,
Avatar,,,,,
Duro de Matar,,,,,
O Senhor dos Anéis,,,,,
A Origem,,,,,
A Bela e a Fera,,,,,
Coração Selvagem,,,,,
A toda prova,,,,,1
Contraband,,,,,2
Em busca de vinganca - Colombiana,,,,,3
Os Mercenarios 2010,,,,,4
A Verdade Nua e Crua,,,,,5
Professora sem Classe,,,,,6
A Condenacao,,,,,7
A Origem,,,,,8
12 Horas,,,,,9
5 Mandamento,,,,,10
A beira do abismo,,,,,11
A Casa dos Sonhos,,,,,12
Desconhecido,,,,,13
Elefante Branco,,,,,14
Entre segredos e mentiras,,,,,15
Refens,,,,,16
Atividade Paranormal,,,,,17
B13 II,,,,,18
Edwin Boyd,,,,,19
Os Especialistas,,,,,20
UNDERWORLD,,,,,21
Bastardos Inglorios,,,,,22
As Aventuras de Tintin,,,,,23
Black Gold,,,,,24
Contra o Tempo,,,,,25
22 Balas,,,,,26
72 Horas,,,,,